,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
124,717359,2023-07-18T23:10:00Z,2023-07-18,R,Scheduled,Chicago White Sox,New York Mets,145,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-18 - Chicago White Sox @ New York Mets (Scheduled)
125,717341,2023-07-19T23:10:00Z,2023-07-19,R,Scheduled,Chicago White Sox,New York Mets,145,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-19 - Chicago White Sox @ New York Mets (Scheduled)
126,717330,2023-07-20T17:10:00Z,2023-07-20,R,Scheduled,Chicago White Sox,New York Mets,145,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-20 - Chicago White Sox @ New York Mets (Scheduled)
127,717324,2023-07-21T23:10:00Z,2023-07-21,R,Scheduled,New York Mets,Boston Red Sox,121,111,N,1,,,,,0,0,,,3,Fenway Park,[],,,,,,,2023-07-21 - New York Mets @ Boston Red Sox (Scheduled)
128,717309,2023-07-22T20:10:00Z,2023-07-22,R,Scheduled,New York Mets,Boston Red Sox,121,111,N,1,,,,,0,0,,,3,Fenway Park,[],,,,,,,2023-07-22 - New York Mets @ Boston Red Sox (Scheduled)
129,717298,2023-07-23T07:33:00Z,2023-07-23,R,Scheduled,New York Mets,Boston Red Sox,121,111,N,1,,,,,0,0,,,3,Fenway Park,[],,,,,,,2023-07-23 - New York Mets @ Boston Red Sox (Scheduled)
130,717266,2023-07-25T23:05:00Z,2023-07-25,R,Scheduled,New York Mets,New York Yankees,121,147,N,1,,,,,0,0,,,3313,Yankee Stadium,[],,,,,,,2023-07-25 - New York Mets @ New York Yankees (Scheduled)
131,717248,2023-07-26T23:05:00Z,2023-07-26,R,Scheduled,New York Mets,New York Yankees,121,147,N,1,,,,,0,0,,,3313,Yankee Stadium,[],,,,,,,2023-07-26 - New York Mets @ New York Yankees (Scheduled)
132,717241,2023-07-27T23:10:00Z,2023-07-27,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-27 - Washington Nationals @ New York Mets (Scheduled)
133,717230,2023-07-28T23:10:00Z,2023-07-28,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-28 - Washington Nationals @ New York Mets (Scheduled)
134,717215,2023-07-29T23:10:00Z,2023-07-29,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-29 - Washington Nationals @ New York Mets (Scheduled)
135,717203,2023-07-30T17:40:00Z,2023-07-30,R,Scheduled,Washington Nationals,New York Mets,120,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-07-30 - Washington Nationals @ New York Mets (Scheduled)
136,717170,2023-08-02T00:10:00Z,2023-08-01,R,Scheduled,New York Mets,Kansas City Royals,121,118,N,1,,,,,0,0,,,7,Kauffman Stadium,[],,,,,,,2023-08-01 - New York Mets @ Kansas City Royals (Scheduled)
137,717156,2023-08-03T00:10:00Z,2023-08-02,R,Scheduled,New York Mets,Kansas City Royals,121,118,N,1,,,,,0,0,,,7,Kauffman Stadium,[],,,,,,,2023-08-02 - New York Mets @ Kansas City Royals (Scheduled)
138,717148,2023-08-03T18:10:00Z,2023-08-03,R,Scheduled,New York Mets,Kansas City Royals,121,118,N,1,,,,,0,0,,,7,Kauffman Stadium,[],,,,,,,2023-08-03 - New York Mets @ Kansas City Royals (Scheduled)
139,717134,2023-08-04T23:05:00Z,2023-08-04,R,Scheduled,New York Mets,Baltimore Orioles,121,110,N,1,,,,,0,0,,,2,Oriole Park at Camden Yards,[],,,,,,,2023-08-04 - New York Mets @ Baltimore Orioles (Scheduled)
140,717114,2023-08-05T23:05:00Z,2023-08-05,R,Scheduled,New York Mets,Baltimore Orioles,121,110,N,1,,,,,0,0,,,2,Oriole Park at Camden Yards,[],,,,,,,2023-08-05 - New York Mets @ Baltimore Orioles (Scheduled)
141,717107,2023-08-06T17:35:00Z,2023-08-06,R,Scheduled,New York Mets,Baltimore Orioles,121,110,N,1,,,,,0,0,,,2,Oriole Park at Camden Yards,[],,,,,,,2023-08-06 - New York Mets @ Baltimore Orioles (Scheduled)
142,717092,2023-08-07T23:10:00Z,2023-08-07,R,Scheduled,Chicago Cubs,New York Mets,112,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-08-07 - Chicago Cubs @ New York Mets (Scheduled)
143,717080,2023-08-08T23:10:00Z,2023-08-08,R,Scheduled,Chicago Cubs,New York Mets,112,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-08-08 - Chicago Cubs @ New York Mets (Scheduled)
144,717062,2023-08-09T23:10:00Z,2023-08-09,R,Scheduled,Chicago Cubs,New York Mets,112,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-08-09 - Chicago Cubs @ New York Mets (Scheduled)
145,717040,2023-08-11T23:10:00Z,2023-08-11,R,Scheduled,Atlanta Braves,New York Mets,144,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-08-11 - Atlanta Braves @ New York Mets (Scheduled)
146,717021,2023-08-12T23:10:00Z,2023-08-12,R,Scheduled,Atlanta Braves,New York Mets,144,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-08-12 - Atlanta Braves @ New York Mets (Scheduled)
147,717013,2023-08-13T17:40:00Z,2023-08-13,R,Scheduled,Atlanta Braves,New York Mets,144,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-08-13 - Atlanta Braves @ New York Mets (Scheduled)
148,717002,2023-08-14T23:10:00Z,2023-08-14,R,Scheduled,Pittsburgh Pirates,New York Mets,134,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-08-14 - Pittsburgh Pirates @ New York Mets (Scheduled)
149,716988,2023-08-15T23:10:00Z,2023-08-15,R,Scheduled,Pittsburgh Pirates,New York Mets,134,121,N,1,,,,,0,0,,,3289,Citi Field,[],,,,,,,2023-08-15 - Pittsburgh Pirates @ New York Mets (Scheduled)
