,game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary
101,663051,2022-07-06T22:40:00Z,2022-07-06,R,Final,New York Mets,Cincinnati Reds,121,113,N,1,Graham Ashcraft,David Peterson,,,8,3,10,Bottom,2602,Great American Ball Park,New York Mets,Cincinnati Reds,Adam Ottavino,Dauri Moreta,,2022-07-06 - New York Mets (8) @ Cincinnati Reds (3) (Final)
102,662508,2022-07-07T23:10:00Z,2022-07-07,R,Final,Miami Marlins,New York Mets,146,121,N,1,Trevor Williams,Daniel Castano,,,0,10,9,Top,3289,Citi Field,New York Mets,Miami Marlins,Trevor Williams,Daniel Castano,,2022-07-07 - Miami Marlins (0) @ New York Mets (10) (Final)
103,662498,2022-07-08T23:10:00Z,2022-07-08,R,Final,Miami Marlins,New York Mets,146,121,N,1,Chris Bassitt,Pablo Lopez,,,5,2,9,Bottom,3289,Citi Field,Miami Marlins,New York Mets,Pablo Lopez,Chris Bassitt,Tanner Scott,2022-07-08 - Miami Marlins (5) @ New York Mets (2) (Final)
104,662497,2022-07-09T20:10:00Z,2022-07-09,R,Final,Miami Marlins,New York Mets,146,121,N,1,Carlos Carrasco,Braxton Garrett,,,4,5,10,Bottom,3289,Citi Field,New York Mets,Miami Marlins,Colin Holderman,Tanner Scott,,2022-07-09 - Miami Marlins (4) @ New York Mets (5) (Final)
105,662496,2022-07-10T17:40:00Z,2022-07-10,R,Final,Miami Marlins,New York Mets,146,121,N,1,Taijuan Walker,Sandy Alcantara,,,2,0,10,Bottom,3289,Citi Field,Miami Marlins,New York Mets,Richard Bleier,Tommy Hunter,Tanner Scott,2022-07-10 - Miami Marlins (2) @ New York Mets (0) (Final)
106,661507,2022-07-11T23:20:00Z,2022-07-11,R,Final,New York Mets,Atlanta Braves,121,144,N,1,Max Fried,Max Scherzer,,,4,1,9,Bottom,4705,Truist Park,New York Mets,Atlanta Braves,Max Scherzer,Max Fried,Edwin Diaz,2022-07-11 - New York Mets (4) @ Atlanta Braves (1) (Final)
107,661506,2022-07-12T23:20:00Z,2022-07-12,R,Final,New York Mets,Atlanta Braves,121,144,N,1,Spencer Strider,David Peterson,,,1,4,9,Top,4705,Truist Park,Atlanta Braves,New York Mets,Tyler Matzek,David Peterson,A.J. Minter,2022-07-12 - New York Mets (1) @ Atlanta Braves (4) (Final)
108,661505,2022-07-13T16:20:00Z,2022-07-13,R,Final,New York Mets,Atlanta Braves,121,144,N,1,Charlie Morton,Chris Bassitt,,,7,3,9,Bottom,4705,Truist Park,New York Mets,Atlanta Braves,Chris Bassitt,Charlie Morton,,2022-07-13 - New York Mets (7) @ Atlanta Braves (3) (Final)
109,661101,2022-07-15T00:05:00Z,2022-07-14,R,Final,New York Mets,Chicago Cubs,121,112,N,1,Keegan Thompson,Carlos Carrasco,,,8,0,9,Bottom,17,Wrigley Field,New York Mets,Chicago Cubs,Carlos Carrasco,Keegan Thompson,Trevor Williams,2022-07-14 - New York Mets (8) @ Chicago Cubs (0) (Final)
111,661114,2022-07-16T18:20:00Z,2022-07-16,R,Final,New York Mets,Chicago Cubs,121,112,S,1,Marcus Stroman,Taijuan Walker,,,2,1,11,Bottom,17,Wrigley Field,New York Mets,Chicago Cubs,Adam Ottavino,Mychal Givens,Edwin Diaz,2022-07-16 - New York Mets (2) @ Chicago Cubs (1) (Final)
